job_title,company,location,link,description
Senior Data Governance Program Manager,Gitlab,"Remote, India",https://job-boards.greenhouse.io/gitlab/jobs/8160069002,
"Senior Director, Enterprise Architecture and AI",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8393292002,
"Senior Director, Enterprise Technology & AI - India",Gitlab,"Remote, India",https://job-boards.greenhouse.io/gitlab/jobs/8384262002,
"Senior Director, Public Sector Customer Success",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8389993002,
"Senior FP&A Analyst, Corporate Finance",Gitlab,"Remote; Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8347674002,
"Senior Frontend Engineer, AI Engineering: Duo Chat",Gitlab,"Remote, Americas; Remote, EMEA",https://job-boards.greenhouse.io/gitlab/jobs/8202813002,
"Senior Fullstack Engineer (RoR/vue.js), Software Supply Chain Security: Authorization",Gitlab,"Remote, Canada; Remote, Netherlands; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8230719002,
Senior Infrastructure Security Engineer ,Gitlab,"Remote, Australia; Remote, EMEA; Remote, Japan",https://job-boards.greenhouse.io/gitlab/jobs/8326388002,
"Senior Manager, Developer Advocacy",Gitlab,"Remote, EMEA; Remote, North America",https://job-boards.greenhouse.io/gitlab/jobs/8168744002,
"Senior Manager, Engagement Manager  - AMER",Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8339251002,
"Senior Manager, Professional Services, Technical Program Management - AMER",Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8329846002,
Senior Marketing Data Analyst,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8302127002,
"Senior Product Manager, Dedicated",Gitlab,"Remote, Ireland; Remote, Netherlands; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8316087002,
"Senior Product Manager, Plan",Gitlab,"Remote, Ireland; Remote, Netherlands; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8282171002,
Senior Professional Services Engagement Manager - PubSec - US,Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8345705002,
"Senior Professional Services Technical Architect, META",Gitlab,"Remote, United Arab Emirates",https://job-boards.greenhouse.io/gitlab/jobs/8343384002,
